"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison"
"CAETHG_RS13830",39.7693456972374,-3.49394412050605,0.419835792820632,-8.32216828639663,8.63685658041907e-17,8.72322514622326e-15,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS08555",357115.119012788,1.12692175467623,0.158855627016979,7.09399960100736,1.30290505941206e-12,6.57967055003089e-11,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS12000",36.5996075038973,-1.69318046815326,0.248103133754305,-6.82450254671109,8.82305091591746e-12,2.97042714169221e-10,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS11990",61.2117077378407,-1.00947280924247,0.231969624916612,-4.35174566327531,1.35057880079175e-05,0.000272816917759934,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS11995",39.1014958758392,-1.01536340113414,0.248584940227539,-4.08457326580096,4.41578923767326e-05,0.000637135304292856,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS18175",14.6482589670264,-1.90385581907978,0.490851829216509,-3.87867724180369,0.000105025991273513,0.00106076251186248,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS07725",28.9967397015809,1.1682068875313,0.311982372252385,3.74446440386143,0.000180779003544542,0.00165987994163625,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS05825",573.98424007994,-1.12220001902473,0.320616312262572,-3.50013388621876,0.000465024532442279,0.00391395648138918,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS07760",24.9094715404784,1.47807050099543,0.434297300497276,3.40336101399437,0.000665622682156748,0.00517137622291012,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS13800",36168.3589822832,2.16206371956282,0.683094669745812,3.16510114237511,0.00155029050851174,0.0104386227573124,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS11305",30.5941564504662,2.28969589720809,0.781463597895954,2.93000966823402,0.00338951457711007,0.0180179459099009,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS11385",50.046548049297,-2.03888598704146,0.750419966797411,-2.71699325344829,0.00658779505405264,0.0316841571647294,"UT1_D0.5 vs UT2_D1_Cotox"
"CAETHG_RS10035",4.95179524855129,-1.91155678043995,0.754921074252447,-2.5321279874626,0.0113372600725541,0.0477109694719985,"UT1_D0.5 vs UT2_D1_Cotox"
